combination,groups,target,size,rel_imm_thr,abs_imm_thr,index,ratio_egv_max,list_ass_sep_trace,list_ass_edu_trace,ratio_egv_max_quant,list_ass_sep_trace_quant,list_ass_edu_trace_quant,list_eigv_ratio_keep_sep,list_eigv_ratio_keep_edu
5060,1,"high SEP, low edu",0.45,0.88,0.4,5060,1.0070818792953151,1.061642963835435,1.1098762254534833,40-60,0-20,40-60,1.0022770357957045,1.002955640496572
5068,1,"high SEP, low edu",0.45,0.97,0.44,5068,1.007043936927794,1.0673446528824957,1.011501196433917,40-60,0-20,20-40,1.00164433919299,1.002543650147252
5070,1,"high SEP, low edu",0.45,0.82,0.37,5070,1.0064228705681717,1.1503943657991245,1.1201112598544984,0-20,20-40,40-60,1.0020231440061105,1.0027672176235307
5077,1,"high SEP, low edu",0.45,0.84,0.38,5077,1.0060825218702405,1.1770128374303568,1.0450224316275838,0-20,40-60,20-40,1.0017580649966131,1.0026775841575477
5078,1,"high SEP, low edu",0.45,0.99,0.45,5078,1.007207460462776,1.144501583038778,1.0595514486599331,60-80,20-40,20-40,1.0021260693733116,1.002726293105252
5082,1,"high SEP, low edu",0.45,0.97,0.44,5082,1.006278983753642,1.2970141092007843,0.8973092371280372,0-20,80-100,0-20,1.00236916996526,1.002454442514521
5091,1,"high SEP, low edu",0.45,0.78,0.36,5091,1.0068744036805095,1.1611154132523462,1.013860827604699,40-60,20-40,20-40,1.0016913761679478,1.0026835785292372
5093,1,"high SEP, low edu",0.45,0.81,0.37,5093,1.0065623894527231,1.055161685898098,1.0821561081710036,20-40,0-20,20-40,1.0019560736316064,1.002818873287877
5096,1,"high SEP, low edu",0.45,0.95,0.43,5096,1.0068965846589917,1.2905204546983025,0.9120425825038296,40-60,60-80,0-20,1.001776451894547,1.0027931504140335
5097,1,"high SEP, low edu",0.45,0.98,0.45,5097,1.0059564930945175,1.212655958854279,0.9219572572876584,0-20,40-60,0-20,1.001608204069775,1.002838141950534
5104,1,"high SEP, low edu",0.45,0.98,0.44,5104,1.0068134138521585,1.182445772072616,1.118210160791144,40-60,40-60,40-60,1.00271824041834,1.002710233647221
5106,1,"high SEP, low edu",0.45,0.94,0.42,5106,1.0069423834795448,1.243172117341578,0.8978289365552015,40-60,60-80,0-20,1.0024582527786952,1.0027261649100812
5108,1,"high SEP, low edu",0.45,0.89,0.4,5108,1.0073264644122712,1.248024326598211,0.9571250352147438,60-80,60-80,0-20,1.0020938535647157,1.002593427494906
