comb,epi_tail,"AR_0-14, low SEP, low edu","AR_0-14, high SEP, low edu","AR_15-24, low SEP, low edu","AR_15-24, low SEP, high edu","AR_15-24, high SEP, low edu","AR_15-24, high SEP, high edu","AR_25-64, low SEP, low edu","AR_25-64, low SEP, high edu","AR_25-64, high SEP, low edu","AR_25-64, high SEP, high edu","AR_65+, low SEP, low edu","AR_65+, low SEP, high edu","AR_65+, high SEP, low edu","AR_65+, high SEP, high edu",AR_overall,AR_0-14,AR_15-24,AR_25-64,AR_65+
36,0.6529277543958043,46.109305604805215,46.24929981350127,75.29487300721314,89.11501428120724,66.27098411716041,66.78210913767431,54.90715271919719,61.057743776719505,56.026684340651954,56.070086923658096,43.662765316234854,49.769445824460966,41.52011965154015,56.01065822786497,54.12653513455645,46.205590319803036,69.60718843749812,56.37898196496658,45.60563454547987
37,0.6602562099231188,46.80733634859953,45.95896302579272,74.9661483242775,89.6121036104436,66.4466133953454,67.1538984356176,55.679266034297285,60.772505586719916,56.323208336189516,55.57051230868164,43.955742183978586,50.15020236568949,42.035671780178546,54.96061435427646,54.18562054859209,46.223845185936064,69.65375398449042,56.428252060833195,45.731850592906895
38,0.7473317790312929,45.88310152904842,45.86264955877606,74.01293366754363,90.79457802738592,66.18617421206821,67.11124665222835,55.140899249547566,60.15873368426448,55.58161944423997,55.746753499231914,45.23325585633788,51.72878857348455,40.739714955461025,54.116812819574974,53.81421744084753,45.869035146251875,69.24084392614948,56.05640495578874,45.370716066976385
39,0.6489400081302601,46.496763557767075,46.19642370922773,74.8302432090285,89.51855476496823,66.65628416885367,67.21664580413434,55.15998645342539,60.30335630513256,56.87326281305756,55.634650186741425,44.23601367699414,49.43079011976242,41.62285170375555,55.80688687774673,54.24168348200652,46.290196893413935,69.7441532249229,56.49348542171038,45.735053032612896
40,0.7060892248324115,46.68421225835597,45.87592156072464,74.9365228930274,89.99861765556696,66.21168498346495,67.36206776457027,54.90437814698641,59.77546710128116,56.429319627230385,55.93748607053475,44.58614303601145,51.222337266496986,41.4093739571675,54.71770866745492,54.08319345316027,46.12828897994524,69.5225573983841,56.33416025305942,45.61511557331967
41,0.6657566079483296,46.544559259648835,46.07990058329412,75.00356929676735,89.70291304203532,66.40464463331259,66.96454253466406,55.88238846503695,60.38801837874403,55.94097487794594,55.93283410133036,43.913669518427,51.649600029223286,41.45196087872171,55.48388670881311,54.16070267585256,46.224977980960254,69.63044039597577,56.41505270465363,45.65166697581272
42,0.7028901877560804,46.04825092753047,45.93147278359223,75.18009056391007,89.9436747215047,65.68759090576216,67.63709139069724,55.616669210726094,60.54987856189738,55.69689389660113,55.4655196056442,43.6597139456486,51.02964924085431,40.78375248658254,56.08252372782552,53.873702813479504,45.96793367432551,69.28513442526788,56.13434912033567,45.353813622943896
43,0.6671220109876408,46.72775323189544,45.9973051484982,74.98272758752078,89.50146506820758,66.37345803402901,67.7881489388117,56.110446235075216,60.444268092377364,55.98232071437888,55.78889785866965,44.66233547817328,49.81828149837563,41.78383542458257,54.79349900293411,54.18673709935833,46.22536826764802,69.64712867712026,56.42994573354563,45.73507854130529
44,0.7118286943970674,46.56366225322732,45.68545141946287,74.32650575078806,90.65766386543997,66.2588883052451,66.52393082214857,55.05459635659914,60.57941270751794,55.834219288407944,55.679641918336955,43.911732389669446,50.128081153498485,41.84087219003475,54.31519793479268,53.91473571441264,45.9596495542406,69.34081289386194,56.15207768783198,45.4933449407462
45,0.6321578379450883,46.79805739248999,46.2569387411615,74.69722490299073,88.99865136710338,67.04357526611626,67.4641584193119,55.447745147073846,60.384335412748655,56.5643487268885,56.19824882693672,44.42170154469984,49.680800167539495,42.22164225641473,55.009820138573225,54.400502847059045,46.425888746311976,69.94407212848054,56.64297429717925,45.91728568773132
